ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013ubms","SI",2013-10-13,10:16:43.238,63.8228,-22.6126,3.27,0.041,0.44,0.27,0.37,1.23,1.41,1.29,"manual"
"isor2013ubqe","SI",2013-10-13,12:01:26.935,63.8036,-22.6761,3.98,0.045,0.59,0.46,0.41,1.20,1.56,1.32,"manual"
"isor2013ubrd","SI",2013-10-13,12:30:34.136,63.8314,-22.6281,3.80,0.056,0.41,0.28,0.36,1.56,1.85,1.66,"manual"
"isor2013ubuo","SI",2013-10-13,14:14:36.625,63.7920,-22.6727,2.90,0.046,0.40,0.44,0.75,1.56,1.88,1.67,"manual"
"isor2013ubuv","SI",2013-10-13,14:22:12.401,63.8751,-22.4961,1.23,0.050,0.54,0.49,1.00,1.75,1.99,1.83,"manual"
"isor2013ubxi","SI",2013-10-13,15:38:53.795,63.8196,-22.6674,5.10,0.074,0.68,0.50,0.51,0.95,1.22,1.04,"manual"
"isor2013ubxt","SI",2013-10-13,15:50:39.020,63.7988,-22.6723,2.97,0.062,0.42,0.38,0.63,1.40,1.66,1.49,"manual"
"isor2013ubxx","SI",2013-10-13,15:56:22.194,63.8213,-22.6191,2.90,0.061,0.52,0.36,0.51,1.17,1.42,1.25,"manual"
"isor2013ubyj","SI",2013-10-13,16:10:16.245,63.8151,-22.7458,6.03,0.071,0.70,0.58,0.51,1.49,1.69,1.56,"manual"
"isor2013ucad","SI",2013-10-13,17:03:01.175,63.8085,-22.6031,0.71,0.021,0.40,0.29,0.77,1.32,1.52,1.38,"manual"
"isor2013ucai","SI",2013-10-13,17:08:55.004,63.7926,-22.6855,4.00,0.052,0.44,0.47,0.53,1.41,1.63,1.48,"manual"
"isor2013ucbm","SI",2013-10-13,17:44:12.137,63.8214,-22.6080,3.20,0.045,0.46,0.36,0.43,1.13,1.40,1.22,"manual"
"isor2013ucca","SI",2013-10-13,18:06:16.807,63.8262,-22.6175,3.20,0.044,0.41,0.34,0.41,1.10,1.30,1.17,"manual"
"isor2013ucde","RR",2013-10-13,18:35:28.586,63.7926,-22.6817,1.90,0.048,0.43,0.45,0.73,1.29,1.55,1.38,"manual"
"isor2013ucfo","SI",2013-10-13,19:48:10.467,63.8085,-22.6082,1.76,0.056,0.44,0.29,0.72,1.21,1.40,1.27,"manual"
"isor2013ucfy","SI",2013-10-13,19:59:59.891,63.8352,-22.6251,3.55,0.042,0.48,0.27,0.47,1.14,1.32,1.20,"manual"
"isor2013uchc","SI",2013-10-13,20:34:38.763,63.8033,-22.6589,4.17,0.061,0.65,0.43,0.55,0.99,1.25,1.08,"manual"
"isor2013uchs","SI",2013-10-13,20:53:13.868,63.7999,-22.6317,4.00,0.046,0.60,0.44,0.88,1.15,1.37,1.22,"manual"
"isor2013ucib","SI",2013-10-13,21:03:07.718,63.7926,-22.6600,2.90,0.043,0.50,0.64,0.78,1.06,1.33,1.15,"manual"
"isor2013ucit","SI",2013-10-13,21:24:49.365,63.7954,-22.6273,3.25,0.047,0.49,0.43,0.75,1.36,1.53,1.42,"manual"
"isor2013ucjb","SI",2013-10-13,21:33:22.907,63.7979,-22.6754,3.92,0.065,0.47,0.42,0.51,2.53,3.07,2.71,"manual"
"isor2013ucjh","RR",2013-10-13,21:41:10.641,63.7948,-22.6718,2.90,0.027,0.46,0.58,0.72,1.33,1.49,1.39,"manual"
"isor2013ucjx","SI",2013-10-13,21:59:46.813,63.8022,-22.6715,3.49,0.064,0.54,0.47,0.48,1.19,1.39,1.26,"manual"
"isor2013ucld","RR",2013-10-13,22:36:49.831,63.7943,-22.6781,2.39,0.037,0.47,0.48,0.84,1.18,1.47,1.28,"manual"
"isor2013uclp","SI",2013-10-13,22:50:29.999,63.8157,-22.6579,4.69,0.064,0.53,0.40,0.43,1.10,1.43,1.21,"manual"
"isor2013ucls","SI",2013-10-13,22:54:28.793,63.8114,-22.6975,3.71,0.044,0.77,0.54,0.57,1.08,1.40,1.18,"manual"
"isor2013uclz","SI",2013-10-13,23:02:32.090,63.8166,-22.6259,3.46,0.056,0.43,0.30,0.40,1.85,1.86,1.86,"manual"
"isor2013ucmb","SI",2013-10-13,23:05:17.482,63.7851,-22.6689,5.01,0.067,0.32,0.52,0.48,1.67,1.99,1.77,"manual"
"isor2013ucms","SI",2013-10-13,23:24:53.467,63.8038,-22.7048,2.87,0.053,0.63,0.46,0.53,1.21,1.46,1.29,"manual"
"isor2013ucou","SI",2013-10-14,00:27:05.569,63.8005,-22.6381,4.00,0.063,0.48,0.35,0.57,1.92,2.32,2.05,"manual"
"isor2013ucpv","SI",2013-10-14,00:58:42.151,63.8112,-22.6382,3.45,0.057,0.49,0.47,0.82,1.03,1.21,1.09,"manual"
"isor2013ucqw","SI",2013-10-14,01:30:15.899,63.8005,-22.6356,4.00,0.051,0.51,0.35,0.66,1.41,1.55,1.45,"manual"
"isor2013ucrg","SI",2013-10-14,01:42:09.189,63.8117,-22.6319,3.25,0.053,0.43,0.42,0.64,1.18,1.35,1.24,"manual"
"isor2013ucrp","SI",2013-10-14,01:53:01.984,63.8033,-22.6423,5.14,0.053,0.55,0.53,0.90,1.12,1.33,1.19,"manual"
"isor2013ucrv","SI",2013-10-14,01:59:37.374,63.8321,-22.6298,4.54,0.061,0.52,0.33,0.49,0.88,1.15,0.97,"manual"
"isor2013ucsx","SI",2013-10-14,02:32:10.303,63.8383,-22.6210,3.91,0.034,0.33,0.24,0.34,0.82,1.11,0.92,"manual"
"isor2013uctl","SI",2013-10-14,02:49:15.396,63.8112,-22.6624,4.69,0.072,0.64,0.41,0.52,1.06,1.38,1.17,"manual"
"isor2013uctq","SI",2013-10-14,02:53:59.941,63.8044,-22.6284,3.00,0.057,0.79,0.60,1.56,1.04,1.31,1.13,"manual"
"isor2013ucue","SI",2013-10-14,03:11:26.858,63.8358,-22.6111,2.15,0.062,0.39,0.28,0.42,1.11,1.36,1.19,"manual"
"isor2013ucuj","RR",2013-10-14,03:16:47.654,63.7958,-22.6620,0.26,0.059,0.32,0.27,0.57,1.84,2.03,1.91,"manual"
"isor2013ucuq","SI",2013-10-14,03:24:55.127,63.7851,-22.6581,5.21,0.070,0.27,0.48,0.71,1.19,1.49,1.29,"manual"
"isor2013ucvs","SI",2013-10-14,03:57:16.186,63.8083,-22.6340,4.07,0.049,0.66,0.47,0.81,1.06,1.16,1.09,"manual"
"isor2013ucxd","SI",2013-10-14,04:41:05.166,63.7851,-22.6562,5.06,0.073,0.22,0.48,0.56,1.18,1.46,1.27,"manual"
"isor2013ucxh","RR",2013-10-14,04:44:54.774,63.8207,-22.6407,3.42,0.051,0.56,0.57,0.63,0.93,1.22,1.03,"manual"
"isor2013ucxx","SI",2013-10-14,05:04:26.651,63.8403,-22.6232,3.98,0.040,0.38,0.28,0.47,0.88,1.10,0.95,"manual"
"isor2013uczy","RR",2013-10-14,06:05:43.293,63.7954,-22.6782,3.90,0.047,0.58,0.63,0.83,1.11,1.21,1.14,"manual"
"isor2013udab","SI",2013-10-14,06:09:37.866,63.8148,-22.6699,5.02,0.071,0.65,0.49,0.52,0.79,0.94,0.84,"manual"
"isor2013udah","SI",2013-10-14,06:15:43.979,63.8044,-22.6539,3.73,0.067,0.51,0.35,0.58,1.20,1.50,1.30,"manual"
"isor2013udax","SI",2013-10-14,06:35:00.353,63.8445,-22.6263,4.16,0.037,0.51,0.30,0.52,0.88,1.14,0.97,"manual"
"isor2013udbq","SI",2013-10-14,06:56:49.667,63.8022,-22.6447,3.00,0.064,0.43,0.37,0.72,1.27,1.53,1.35,"manual"
"isor2013udbv","SI",2013-10-14,07:02:38.058,63.8010,-22.6598,3.00,0.054,0.56,0.48,0.66,0.90,1.22,1.01,"manual"
"isor2013udcf","SI",2013-10-14,07:14:26.724,63.7982,-22.6340,3.31,0.032,0.51,0.42,0.82,1.07,1.18,1.11,"manual"
"isor2013udcl","SI",2013-10-14,07:21:24.421,63.8161,-22.6258,2.96,0.053,0.38,0.28,0.41,1.10,1.31,1.17,"manual"
"isor2013udcw","RR",2013-10-14,07:34:39.514,63.7993,-22.6431,2.32,0.052,0.44,0.57,0.87,1.16,1.35,1.23,"manual"
"isor2013udei","SI",2013-10-14,08:18:23.637,63.8338,-22.6300,4.99,0.046,0.45,0.33,0.47,0.95,1.16,1.02,"manual"
"isor2013udez","SI",2013-10-14,08:38:40.638,63.8112,-22.6484,5.82,0.045,0.57,0.55,0.56,0.84,1.00,0.89,"manual"
"isor2013udfe","SI",2013-10-14,08:44:16.144,63.7986,-22.6694,3.24,0.059,0.49,0.37,0.62,1.21,1.50,1.31,"manual"
"isor2013udgp","SI",2013-10-14,09:27:41.587,63.8405,-22.6213,4.34,0.040,0.53,0.34,0.59,0.87,1.11,0.95,"manual"
"isor2013udhc","SI",2013-10-14,09:43:07.959,63.7932,-22.6665,1.60,0.039,0.41,0.40,0.66,1.23,1.55,1.34,"manual"
"isor2013udhn","SI",2013-10-14,09:55:48.556,63.8013,-22.6682,4.47,0.056,0.57,0.37,0.46,2.08,2.37,2.18,"manual"
"isor2013udit","SI",2013-10-14,10:32:39.608,63.8223,-22.6208,2.91,0.060,0.41,0.31,0.45,1.10,1.39,1.20,"manual"
"isor2013udiw","SI",2013-10-14,10:35:49.935,63.8220,-22.6227,3.03,0.049,0.42,0.28,0.38,1.32,1.64,1.42,"manual"
"isor2013udja","SI",2013-10-14,10:40:36.959,63.8240,-22.6211,2.91,0.035,0.41,0.37,0.33,1.26,1.52,1.35,"manual"
"isor2013udjd","RR",2013-10-14,10:44:06.936,63.8013,-22.6554,0.89,0.050,0.39,0.47,0.75,1.27,1.45,1.33,"manual"
"isor2013udlt","SI",2013-10-14,12:04:07.935,63.7851,-22.6562,5.28,0.077,0.25,0.47,0.49,1.58,1.90,1.69,"manual"
"isor2013udmd","SI",2013-10-14,12:15:05.337,63.7993,-22.6545,2.66,0.055,0.44,0.36,0.68,1.10,1.33,1.18,"manual"
"isor2013udmj","SI",2013-10-14,12:22:08.299,63.8138,-22.6357,3.44,0.061,0.45,0.35,0.51,1.21,1.41,1.27,"manual"
"isor2013udox","SI",2013-10-14,13:39:37.467,63.7853,-22.7189,9.02,0.067,0.64,1.03,0.57,1.41,1.68,1.50,"manual"
"isor2013udpb","SI",2013-10-14,13:44:02.153,63.7853,-22.7176,8.61,0.061,0.97,0.94,0.64,1.39,1.67,1.48,"manual"
"isor2013udpt","SI",2013-10-14,14:05:19.550,63.7853,-22.6731,5.34,0.066,0.48,0.80,0.93,1.08,1.34,1.17,"manual"
"isor2013udqc","SI",2013-10-14,14:15:35.290,63.7965,-22.6733,3.73,0.063,0.50,0.55,0.66,1.51,1.80,1.60,"manual"
